Date : 2021-04-06 19:25:48
Directory : c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\
Total : 345 files,  35713 codes, 779 comments, 3514 blanks, all 40006 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        345 |     35,713 |        779 |      3,514 |     40,006 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| app\home\approved\teacher\teacher_halaqat                                                                                                                       |          5 |        600 |          3 |         56 |        659 |
| app\home\approved\teacher\teacher_profile                                                                                                                       |          3 |        151 |          1 |         19 |        171 |
| app\home\approved\teacher\teacher_reports                                                                                                                       |          3 |        147 |          0 |         19 |        166 |
| app\home\approved\teacher\teacher_students                                                                                                                      |          6 |        983 |          8 |         88 |      1,079 |
| app\home\notApproved                                                                                                                                            |          3 |        354 |         12 |         22 |        388 |
| app\logs_helper                                                                                                                                                 |          2 |        218 |          0 |         27 |        245 |
| app\models                                                                                                                                                      |         34 |      1,884 |         32 |        206 |      2,122 |
| app\sign_in                                                                                                                                                     |          6 |        740 |         17 |         85 |        842 |
| app\sign_in\email_password                                                                                                                                      |          2 |        410 |          3 |         48 |        461 |
| common_packages                                                                                                                                                 |          5 |        694 |         75 |        100 |        869 |
| common_packages\multiselect_formfield                                                                                                                           |          2 |        236 |          6 |         24 |        266 |
| common_packages\pk_search_bar                                                                                                                                   |          3 |        458 |         69 |         76 |        603 |
| common_widgets                                                                                                                                                  |         30 |      2,006 |         42 |        232 |      2,280 |
| constants                                                                                                                                                       |          3 |        455 |          8 |         27 |        490 |
| services                                                                                                                                                        |          8 |        547 |         19 |         91 |        657 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                        | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\admin_center_form.dart                                                       | Dart     |        173 |          0 |         13 |        186 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\admin_form.dart                                                              | Dart     |        334 |         15 |         10 |        359 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\center_form.dart                                                             | Dart     |        223 |          1 |          8 |        232 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\global_admin_form.dart                                                       | Dart     |        234 |          8 |          7 |        249 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\halaqa_form.dart                                                             | Dart     |        128 |          1 |         11 |        140 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\student_form.dart                                                            | Dart     |        450 |          7 |         26 |        483 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\supervisor_form.dart                                                         | Dart     |        361 |          6 |         16 |        383 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\teacher_form.dart                                                            | Dart     |        378 |          9 |         17 |        404 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\user_bloc.dart                                                               | Dart     |        199 |          4 |         24 |        227 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\user_info_screen.dart                                                        | Dart     |        173 |          1 |         17 |        191 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\common_forms\user_provider.dart                                                           | Dart     |        120 |          0 |         12 |        132 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\conversation_helper\conversation_helper_bloc.dart                                         | Dart     |        225 |         14 |         32 |        271 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\conversation_helper\conversation_helper_provider.dart                                     | Dart     |         55 |          0 |          8 |         63 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_centers\admin_centers_bloc.dart                                 | Dart     |         48 |          0 |          7 |         55 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_centers\admin_centers_provider.dart                             | Dart     |         54 |          0 |         10 |         64 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_centers\admin_centers_screen.dart                               | Dart     |         91 |          0 |         11 |        102 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_centers\admin_centers_tile_widget.dart                          | Dart     |         46 |          1 |          6 |         53 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_centers\admin_new_center_screen.dart                            | Dart     |        112 |          0 |          8 |        120 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_ga_request\admin_ga_request_bloc.dart                           | Dart     |         39 |          0 |          6 |         45 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_ga_request\admin_ga_request_provider.dart                       | Dart     |         35 |          0 |          6 |         41 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_ga_request\admin_ga_request_screen.dart                         | Dart     |        121 |          1 |         11 |        133 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_halaqat\admin_halaqa_tile_widget.dart                           | Dart     |        183 |          0 |          9 |        192 |
