Date : 2021-04-06 19:25:48
Directory : c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\
Total : 345 files,  35713 codes, 779 comments, 3514 blanks, all 40006 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        345 |     35,713 |        779 |      3,514 |     40,006 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\reports\s_attendance\s_attendance_screen.dart                | Dart     |        202 |          0 |         14 |        216 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\reports\s_learning\s_learning_bloc.dart                      | Dart     |         48 |          0 |         11 |         59 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\reports\s_learning\s_learning_card.dart                      | Dart     |         88 |          0 |         10 |         98 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\reports\s_learning\s_learning_provider.dart                  | Dart     |         16 |          0 |          4 |         20 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\reports\s_learning\s_learning_screen.dart                    | Dart     |        168 |          0 |         15 |        183 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\student_profile\student_attendance_screen.dart               | Dart     |        192 |          2 |         14 |        208 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\student_profile\student_evaluations_screen.dart              | Dart     |        158 |          0 |         12 |        170 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\student_profile\student_profile_bloc.dart                    | Dart     |        177 |          1 |         29 |        207 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\student_profile\student_profile_provider.dart                | Dart     |         38 |          1 |          7 |         46 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\student_profile\student_profile_screen.dart                  | Dart     |        196 |          2 |         13 |        211 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\student_profile\student_report_card_screen.dart              | Dart     |        160 |          5 |         12 |        177 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\addition\addition_bloc.dart                   | Dart     |         68 |         10 |         14 |         92 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\addition\addition_provider.dart               | Dart     |         21 |          0 |          5 |         26 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\addition\addition_screen.dart                 | Dart     |        230 |          4 |         18 |        252 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\addition\addition_student_tile_widget.dart    | Dart     |         44 |          0 |          7 |         51 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\attendance\attendance_bloc.dart               | Dart     |        153 |          3 |         17 |        173 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\attendance\attendance_provider.dart           | Dart     |         39 |          0 |          6 |         45 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\attendance\attendance_screen.dart             | Dart     |        590 |         20 |         23 |        633 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\evaluation\evaluation_bloc.dart               | Dart     |        221 |          7 |         28 |        256 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\evaluation\evaluation_provider.dart           | Dart     |         37 |          0 |          5 |         42 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\evaluation\evaluation_screen.dart             | Dart     |        126 |          1 |         10 |        137 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\evaluation\evaluation_tile.dart               | Dart     |         65 |          0 |          4 |         69 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\evaluation\new_evaluation_screen.dart         | Dart     |        364 |          5 |         12 |        381 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\instance_tile_widget.dart                     | Dart     |        199 |          2 |         15 |        216 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\instances_screen.dart                         | Dart     |        304 |         16 |         26 |        346 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\intances_bloc.dart                            | Dart     |        161 |          3 |         15 |        179 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\intances_provider.dart                        | Dart     |         51 |          1 |          7 |         59 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\user_instances\new_student_screen.dart                       | Dart     |        142 |          1 |          9 |        152 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_admins\ga_admins_bloc.dart                                   | Dart     |        120 |          1 |         12 |        133 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_admins\ga_admins_provider.dart                               | Dart     |         42 |          0 |          8 |         50 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_admins\ga_admins_screen.dart                                 | Dart     |        180 |          1 |         15 |        196 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_admins\ga_admins_tile_widget.dart                            | Dart     |         70 |          0 |          8 |         78 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_admins\ga_new_admin_screen.dart                              | Dart     |        120 |          1 |          9 |        130 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_about_admin_screen.dart                           | Dart     |         74 |          0 |          7 |         81 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_about_center_screen.dart                          | Dart     |         58 |          0 |          6 |         64 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_center_admins\ga_center_admins_bloc.dart          | Dart     |         14 |          0 |          5 |         19 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_center_admins\ga_center_admins_provider.dart      | Dart     |         16 |          0 |          4 |         20 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_center_admins\ga_center_admins_screen.dart        | Dart     |        108 |          0 |         14 |        122 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_center_admins\ga_centers_admins_tile_widget.dart  | Dart     |         66 |          0 |          7 |         73 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_centers_bloc.dart                                 | Dart     |         77 |          0 |         10 |         87 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_centers_provider.dart                             | Dart     |         42 |          0 |          9 |         51 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_centers_screen.dart                               | Dart     |        137 |          0 |         10 |        147 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_centers_tile_widget.dart                          | Dart     |        190 |         10 |         12 |        212 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_centers\ga_new_center_screen.dart                            | Dart     |        119 |          0 |          8 |        127 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_config\ga_config_bloc.dart                                   | Dart     |         10 |          0 |          5 |         15 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_config\ga_config_provider.dart                               | Dart     |         18 |          0 |          5 |         23 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_config\ga_config_screen.dart                                 | Dart     |        133 |          0 |         10 |        143 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_global_admins\ga_global_admins_bloc.dart                     | Dart     |        128 |          0 |         12 |        140 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_global_admins\ga_global_admins_provider.dart                 | Dart     |         39 |          0 |          8 |         47 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_global_admins\ga_global_admins_screen.dart                   | Dart     |        179 |          1 |         18 |        198 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_global_admins\ga_global_admins_tile_widget.dart              | Dart     |        134 |          0 |         11 |        145 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_global_admins\ga_new_admin_screen.dart                       | Dart     |          0 |        106 |          9 |        115 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_global_admins\ga_new_global_admin.dart                       | Dart     |         90 |          1 |          9 |        100 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_profile\ga_profile_bloc.dart                                 | Dart     |         22 |          0 |          4 |         26 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_profile\ga_profile_provider.dart                             | Dart     |         13 |          0 |          4 |         17 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_profile\ga_profile_screen.dart                               | Dart     |        124 |          1 |          9 |        134 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\admin_logs\admin_log_tile.dart                       | Dart     |         29 |          0 |          5 |         34 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\admin_logs\admin_logs_bloc.dart                      | Dart     |         92 |          0 |         15 |        107 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\admin_logs\admin_logs_provider.dart                  | Dart     |         24 |          0 |          4 |         28 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\admin_logs\admin_logs_screen.dart                    | Dart     |        185 |          5 |         19 |        209 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_admins_report\ga_admins_report_bloc.dart          | Dart     |         97 |          1 |         14 |        112 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_admins_report\ga_admins_report_card.dart          | Dart     |        180 |          0 |          9 |        189 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_admins_report\ga_admins_report_provider.dart      | Dart     |         19 |          0 |          5 |         24 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_admins_report\ga_admins_report_row.dart           | Dart     |         13 |          0 |          3 |         16 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_admins_report\ga_admins_report_screen.dart        | Dart     |        125 |          0 |         14 |        139 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_centers_reports\ga_center_report_row.dart         | Dart     |         20 |          0 |          3 |         23 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_centers_reports\ga_centers_report_bloc.dart       | Dart     |        108 |          1 |         17 |        126 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_centers_reports\ga_centers_report_card.dart       | Dart     |        181 |          0 |         10 |        191 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_centers_reports\ga_centers_report_provider.dart   | Dart     |         38 |          0 |          7 |         45 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_centers_reports\ga_centers_report_screen.dart     | Dart     |        126 |          0 |         14 |        140 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_halaqat_reports\ga_halaqa_report_row.dart         | Dart     |         16 |          0 |          3 |         19 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_halaqat_reports\ga_halaqat_report_bloc.dart       | Dart     |         87 |          2 |         14 |        103 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_halaqat_reports\ga_halaqat_report_card.dart       | Dart     |        123 |          0 |          9 |        132 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_halaqat_reports\ga_halaqat_report_provider.dart   | Dart     |         34 |          0 |          7 |         41 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_halaqat_reports\ga_halaqat_report_screen.dart     | Dart     |        126 |          1 |         14 |        141 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_reports_screen.dart                               | Dart     |        101 |          0 |          3 |        104 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_students_reports\ga_student_report_row.dart       | Dart     |         11 |          0 |          3 |         14 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_students_reports\ga_students_report_bloc.dart     | Dart     |         96 |          1 |         15 |        112 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_students_reports\ga_students_report_card.dart     | Dart     |        190 |          0 |          9 |        199 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_students_reports\ga_students_report_provider.dart | Dart     |         19 |          0 |          5 |         24 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_students_reports\ga_students_report_screen.dart   | Dart     |        126 |          0 |         14 |        140 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_teachers_report\ga_teacher_report_row.dart        | Dart     |         13 |          0 |          3 |         16 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_teachers_report\ga_teachers_report_bloc.dart      | Dart     |         97 |          1 |         14 |        112 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_teachers_report\ga_teachers_report_card.dart      | Dart     |        182 |          0 |          9 |        191 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_teachers_report\ga_teachers_report_provider.dart  | Dart     |         19 |          0 |          5 |         24 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_reports\ga_teachers_report\ga_teachers_report_screen.dart    | Dart     |        126 |          0 |         14 |        140 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_requests\ga_request_details_screen.dart                      | Dart     |        125 |          0 |          8 |        133 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_requests\ga_requests_bloc.dart                               | Dart     |         77 |          8 |         13 |         98 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_requests\ga_requests_provider.dart                           | Dart     |         78 |          8 |         15 |        101 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_requests\ga_requests_screen.dart                             | Dart     |        156 |          1 |         18 |        175 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\ga_requests\ga_requests_tile_widget.dart                        | Dart     |         67 |          0 |          8 |         75 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\globalAdmin\global_admin_home_page.dart                                     | Dart     |        178 |          0 |          8 |        186 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\organizer_halaqat\organizer_halaqa_tile_widget.dart                 | Dart     |         49 |          0 |          5 |         54 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\organizer_halaqat\organizer_halaqat_bloc.dart                       | Dart     |         68 |          0 |         13 |         81 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\organizer_halaqat\organizer_halaqat_provider.dart                   | Dart     |         40 |          1 |          7 |         48 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\organizer_halaqat\organizer_halaqat_screen.dart                     | Dart     |        102 |          5 |         15 |        122 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\s_profile\s_profile_bloc.dart                                       | Dart     |         21 |          0 |          3 |         24 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\s_profile\s_profile_provider.dart                                   | Dart     |         13 |          0 |          4 |         17 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\s_profile\s_profile_screen.dart                                     | Dart     |        115 |          1 |         11 |        127 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_halaqa_information\student__halaqa_info_bloc.dart           | Dart     |         67 |          0 |         17 |         84 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_halaqa_information\student_halaqa_attendance_screen.dart    | Dart     |        129 |          0 |         12 |        141 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_halaqa_information\student_halaqa_evaluations_screen.dart   | Dart     |        177 |          8 |         12 |        197 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_halaqa_information\student_halaqa_info_screen.dart          | Dart     |         79 |          0 |         13 |         92 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_halaqat\student_halaqa_tile_widget.dart                     | Dart     |         54 |          0 |          7 |         61 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_halaqat\student_halaqat_bloc.dart                           | Dart     |         68 |          0 |         13 |         81 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_halaqat\student_halaqat_provider.dart                       | Dart     |         40 |          1 |          7 |         48 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_halaqat\student_halaqat_screen.dart                         | Dart     |        111 |          5 |         15 |        131 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_home_page.dart                                              | Dart     |        198 |          0 |         11 |        209 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_summery\student_report_card_summery_screen.dart             | Dart     |        138 |          3 |         12 |        153 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_summery\student_summery_bloc.dart                           | Dart     |         88 |          3 |         18 |        109 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_summery\student_summery_provider.dart                       | Dart     |         45 |          0 |          8 |         53 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\student\student_summery\student_summery_screen.dart                         | Dart     |         74 |          0 |          9 |         83 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_halaqat\supervisor_halaqa_tile_widget.dart            | Dart     |         51 |          0 |          5 |         56 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_halaqat\supervisor_halaqat_bloc.dart                  | Dart     |         36 |          2 |          9 |         47 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_halaqat\supervisor_halaqat_provider.dart              | Dart     |         95 |          0 |         11 |        106 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_halaqat\supervisor_halaqat_screen.dart                | Dart     |        203 |          5 |         14 |        222 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_home_page.dart                                        | Dart     |        207 |         16 |         10 |        233 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_profile\supervisor_profile_bloc.dart                  | Dart     |         21 |          0 |          4 |         25 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_profile\supervisor_profile_provider.dart              | Dart     |         13 |          0 |          4 |         17 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_profile\teacher_profile_screen.dart                   | Dart     |        118 |          1 |         11 |        130 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_reports\supervisor_reports_bloc.dart                  | Dart     |         22 |          0 |          6 |         28 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_reports\supervisor_reports_provider.dart              | Dart     |         18 |          0 |          4 |         22 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_reports\supervisor_reports_screen.dart                | Dart     |        107 |          0 |          9 |        116 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_students\fuck_you_screen.dart                         | Dart     |         51 |          0 |          7 |         58 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_students\supervisor_new_student_screen.dart           | Dart     |        142 |          1 |          9 |        152 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_students\supervisor_student_tile_widget.dart          | Dart     |        133 |          0 |         10 |        143 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_students\supervisor_students_bloc.dart                | Dart     |        160 |         15 |         30 |        205 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_students\supervisor_students_provider.dart            | Dart     |         68 |          0 |         11 |         79 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\supervisor_students\supervisor_students_screen.dart              | Dart     |        386 |         12 |         22 |        420 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\teacher_center_request\teacher_center_request_bloc.dart          | Dart     |         38 |          0 |          5 |         43 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\teacher_center_request\teacher_center_request_provider.dart      | Dart     |         36 |          0 |          6 |         42 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\supervisor\teacher_center_request\teacher_center_request_screen.dart        | Dart     |        123 |          1 |         11 |        135 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_center_attendance\a_t_center_attendace_tile.dart            | Dart     |        130 |          0 |         11 |        141 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_center_attendance\t_center_attendance_bloc.dart             | Dart     |         38 |          0 |          6 |         44 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_center_attendance\t_center_attendance_provider.dart         | Dart     |         38 |          0 |          6 |         44 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_center_attendance\t_center_attendance_screen.dart           | Dart     |        124 |          0 |          9 |        133 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_center_attendance\t_new_center_attendance_screen.dart       | Dart     |        205 |          1 |         15 |        221 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_center_request\teacher_center_request_bloc.dart             | Dart     |         38 |          0 |          5 |         43 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_center_request\teacher_center_request_provider.dart         | Dart     |         36 |          0 |          6 |         42 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_center_request\teacher_center_request_screen.dart           | Dart     |        123 |          1 |         11 |        135 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_halaqat\teacher_halaqa_tile_widget.dart                     | Dart     |         87 |          0 |          7 |         94 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_halaqat\teacher_halaqat_bloc.dart                           | Dart     |         77 |          0 |         14 |         91 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\teacher\teacher_halaqat\teacher_halaqat_provider.dart                       | Dart     |         95 |          0 |         11 |        106 |
